GameID,ShooterID,EventID,CnS,Points,TimeCns,v_CnS,dist_at_shot,shot_angle,shooter_move_angle,shooter_travel,DefID,def_dist_at_shot,def_avg_vel,SpeedBeforeShot0.5s,SBS1.0s,SBS1.5s,SBS2.0s,SBS2.5s,SBS3.0s,SBS3.5s,SBS4.0s,SBS4.5s,SBS5.0s,SpeedBeforeCatch0.5s,SBC1.0s,SBC1.5s,SBC2.0s,SBC2.5s,SBC3.0s,SBC3.5s,SBC4.0s,SBC4.5s,SBC5.0s
21500477,200768,7,TRUE,3,0.32,8.853860132,25.34857088,46.60261342,63.75860642,1.372596851,202322,8.661379026,4.030180536,,,,,,,,,,,14.0628613,14.88170841,13.80353619,11.93368594,10.39713023,9.657884492,9.101036894,8.756908699,8.620408096,8.623141677
21500477,201960,14,TRUE,3,0.12,0.614540485,24.07357828,43.6262026,59.36614449,0.03751774,202066,7.910172939,10.08458473,,,,,,,,,,,1.653702819,2.381388808,2.425803807,2.178314442,1.770525502,1.54546742,1.380725807,1.285505387,1.302669096,
21500477,201942,81,TRUE,0,2.24,2.652154459,22.78003787,36.51039458,136.3359995,-2.757972389,201162,4.795492807,1.091586803,1.793985407,1.310423035,1.296452438,2.003572401,,,,,,,9.5543081,9.809713494,8.088801518,6.817979749,6.176691314,5.787911587,5.599906492,5.764085011,6.070074195,5.964817633
21500477,200768,84,FALSE,0,7.96,10.95912892,25.06393781,46.95439634,94.79732179,9.280108918,101162,7.318207983,2.073894173,3.978602661,3.318603136,2.982892787,3.899350439,5.194044083,6.317836633,7.055431886,7.600862578,8.405079556,9.030313241,11.82764458,12.19262812,11.57072986,10.35884642,8.852722044,8.303238443,,,,
21500477,202335,100,FALSE,0,9,13.9949398,22.03775514,44.48045614,136.0748843,7.270124137,203490,7.763507304,-0.088155927,28.15202414,25.49725896,29.5535136,26.86268143,23.74800324,21.55020544,21.0103158,19.36150685,18.17253959,16.75078237,,,,,,,,,,
21500477,203490,108,TRUE,0,0.44,5.464596042,24.7897226,42.01093904,79.58638894,0.543646887,202335,6.739450478,7.051690815,,,,,,,,,,,7.639132953,7.896272804,7.833280876,7.390369948,6.383674307,5.597475588,5.069106671,4.903610109,4.917826263,5.012471432
21500477,203490,115,TRUE,3,0.6,9.101355942,25.53818033,44.81578946,82.61488261,1.246327737,201942,9.73648531,3.157452277,9.157524604,,,,,,,,,,6.133248878,7.01537781,6.387323906,6.029527676,6.161364149,5.595503293,5.291575894,4.960585742,4.468087994,4.157329167
21500477,202335,146,TRUE,0,0.32,1.545827561,23.29322296,42.43903663,86.39425089,0.034408652,203490,13.66497238,10.16171853,,,,,,,,,,,1.999404455,2.07213285,1.705954519,1.32353309,1.063699063,,,,,
21500477,204067,163,TRUE,0,0.08,3.336684769,24.93132318,44.63784806,95.65394627,-0.024881268,202709,14.73909048,9.968096916,,,,,,,,,,,5.597535698,3.912518641,3.062330807,2.817949278,2.50055652,2.552508974,2.711607273,3.414255767,4.271948067,5.031045346
21500477,200768,182,TRUE,0,2.04,3.696839349,26.90446288,44.41033615,121.6723565,-2.77883131,204067,3.575343722,0.997982074,1.613637565,2.397688424,2.027892697,3.581145765,,,,,,,,,,,,,,,,
21500477,201960,184,TRUE,0,0.32,4.666339658,22.69811164,24.98649461,78.96130014,0.330300783,201196,12.1301874,11.90463139,,,,,,,,,,,8.192606735,10.19084579,11.40978089,11.31318639,10.36020866,9.435506296,8.626289563,7.843494013,7.23435249,7.220129154
21500477,201942,204,TRUE,3,0.16,1.8675831,22.16548572,57.3265596,94.77337328,-0.022287541,202066,15.66996466,8.217296414,,,,,,,,,,,3.307873813,4.652326852,5.492360745,5.869498211,5.657561542,5.121438099,4.624451163,4.301035152,4.345493532,4.636411739
21500477,200768,217,TRUE,3,0.52,3.236097545,22.97699113,41.40463004,83.54980205,0.246478088,101162,18.82829848,3.193499081,3.236097545,,,,,,,,,,2.602307103,1.586028808,1.16565914,1.114896564,1.075530651,1.035713337,1.047440798,1.12714328,1.290586047,1.680959031
21500477,2449,268,TRUE,0,0.24,2.693237204,25.04916108,44.17623425,61.0062652,0.319412685,201196,11.05753474,10.65540927,,,,,,,,,,,2.698972054,3.139755408,,,,,,,,
21500477,201162,276,TRUE,0,0.52,2.014590181,22.36540297,42.51723023,140.3496374,-0.411513676,202709,9.855736461,14.82775133,2.014590181,,,,,,,,,,5.699718604,6.574641954,6.627776102,7.251549359,7.164562221,6.866222249,,,,
21500477,202322,291,TRUE,0,0.48,9.838627782,27.93227497,44.79838329,62.76834647,2.429809291,202687,6.145431213,3.606208315,,,,,,,,,,,,,,,,,,,,
21500477,203490,322,TRUE,3,0.2,3.143849315,23.60918982,44.35435531,110.3534274,-0.208924898,2449,12.80925572,10.96813408,,,,,,,,,,,2.928330267,2.175573911,1.775945792,1.975314047,,,,,,
21500477,200768,323,TRUE,0,0.64,9.912882632,27.20130417,49.27286182,94.15248289,0.270902002,202322,5.186598184,-1.924672432,9.265148117,,,,,,,,,,10.42913774,7.9446536,6.601225789,6.345847137,6.103537379,5.91401287,5.386328279,5.007843804,5.188788818,5.460250685
21500477,201960,330,TRUE,0,0.6,7.376958197,25.30778085,45.7689563,39.58591569,3.508127933,101162,11.35645407,10.54673266,6.998854221,,,,,,,,,,10.79630206,,,,,,,,,
21500477,201162,332,TRUE,0,0.84,1.451259081,25.16223011,44.11300001,36.50381407,0.940709566,202685,7.270102716,2.337523152,1.689987194,,,,,,,,,,0.608009968,0.884521447,0.746701347,,,,,,,
21500477,1626162,377,TRUE,0,0.32,4.50734783,25.6529946,43.59894586,39.51194567,1.107570538,202335,10.69097456,12.60292149,,,,,,,,,,,5.368277073,4.312203829,4.552128516,5.073952093,5.71042792,6.028166332,6.097899657,6.292538539,6.580745706,6.93847128
21500477,203082,398,TRUE,3,0.2,4.201398634,23.80781191,47.82334691,158.8410595,-0.778750485,1626162,5.793745205,3.700562109,,,,,,,,,,,10.07970074,13.3993877,14.81528077,15.8450009,15.88361178,15.15193084,14.19061631,13.32492227,12.42388024,
